msgid,msgstr
Address,Adresa
Amount,Suma
Is Child Table,Je podriadená tabuľka
Name,Názov
Rate,Hodnotenie
Summary,Sumár
"""Customer Provided Item"" cannot be Purchase Item also","""Ním poskytnutá položka zákazníka"" nemôže byť tiež Nákupná položka"
"""Customer Provided Item"" cannot have Valuation Rate","""Zákaznícky poskytnutá položka"" nemôže mať Oceňovaciu sadzbu"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Nie je možné odškrtnúť ""Je fixný majetok"", pretože záznam o majetku existuje pre túto položku"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" pre ""SN-01"" až ""SN-10"""
#,#
"# Account Settings  In ERPNext, Accounting features are configurable as per your business needs. Accounts Settings is the place to define some of your accounting preferences like:   - Credit Limit and over billing settings  - Taxation preferences  - Deferred accounting preferences","# Nastavenia účtov  V ERPNext sú účtovné funkcie konfigurovateľné podľa vašich obchodných potrieb. Nastavenia účtov sú miestom, kde si môžete definovať niektoré z vašich účtovných preferencií, ako napríklad:   - Nastavenia úverového limitu a nadmernej fakturácie  - Daňové preferencie  - Preferencie odloženej účtovnej evidencie"
"# Account Settings  This is a crucial piece of configuration. There are various account settings in ERPNext to restrict and configure actions in the Accounting module.  The following settings are avaialble for you to configure  1. Account Freezing  2. Credit and Overbilling 3. Invoicing and Tax Automations 4. Balance Sheet configurations  There's much more, you can check it all out in this step","# Nastavenia účtu  Toto je kľúčová časť konfigurácie. V ERPNext existujú rôzne nastavenia účtu na obmedzenie a konfiguráciu akcií v module Účtovníctvo.  Pre konfiguráciu sú k dispozícii nasledujúce nastavenia  1. Zmrazenie účtu  2. Kredit a nadfakturácia 3. Fakturácia a daňové automatizácie 4. Konfigurácie súvahy  Je toho oveľa viac, všetko si môžete pozrieť v tomto kroku"
"# Add an Existing Asset  If you are just starting with ERPNext, you will need to enter Assets you already possess. You can add them as existing fixed assets in ERPNext. Please note that you will have to make a Journal Entry separately updating the opening balance in the fixed asset account.","# Pridanie existujúceho majetku  Ak práve začínate s ERPNext, budete musieť zadať majetky, ktoré už vlastníte. Môžete ich pridať ako existujúce neobežné aktíva v ERPNext. Vezmite prosím na vedomie, že budete musieť samostatne vykonať denníkový záznam na aktualizáciu počiatočného zostatku na účte neobežného majetku."
"# All about sales invoice  A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.","# Všetko o faktúre  Predajná faktúra je účtovný doklad, ktorý posielate svojim zákazníkom, na základe ktorého zákazník vykoná platbu. Predajná faktúra je účtovná transakcia. Po odoslaní predajnej faktúry systém aktualizuje pohľadávky a zaúčtuje príjem voči účtu zákazníka."
"# All about sales invoice  A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.  Here's the flow of how a sales invoice is generally created   ![Sales Flow](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)","# Všetko o faktúre za predaj  Faktúra za predaj je účtovný doklad, ktorý sa posiela vašim zákazníkom, voči ktorému zákazník vykoná platbu. Faktúra za predaj je účtovná transakcia. Po odoslaní faktúry za predaj systém aktualizuje pohľadávky a zaúčtuje príjem na účet zákazníka.  Tu je postup, ako sa zvyčajne vytvára faktúra za predaj  ![Sales Flow](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)"
"# Asset Category  An Asset Category classifies different assets of a Company.  You can create an Asset Category based on the type of assets. For example, all your desktops and laptops can be part of an Asset Category named ""Electronic Equipments"". Create a separate category for furniture. Also, you can update default properties for each category, like:  - Depreciation type and duration  - Fixed asset account  - Depreciation account","# Kategória majetku  Kategória majetku klasifikuje rôzne aktíva spoločnosti.  Môžete vytvoriť kategóriu majetku na základe typu aktív. Napríklad všetky vaše stolné počítače a prenosné počítače môžu byť súčasťou kategórie majetku nazvanej ""Elektronické zariadenia"". Vytvorte samostatnú kategóriu pre nábytok. Tiež môžete aktualizovať predvolené vlastnosti pre každú kategóriu, ako napríklad:  - Typ a trvanie odpisovania  - Účet pre nehnuteľný majetok  - Účet na odpisovanie"
# Asset Item  Asset items are created based on Asset Category. You can create one or multiple items against once Asset Category. The sales and purchase transaction for Asset is done via Asset Item.,# Položka majetku  Položky majetku sú vytvárané na základe kategórie majetku. Môžete vytvoriť jednu alebo viacero položiek v rámci jednej kategórie majetku. Predajné a nákupné transakcie pre majetok sú vykonávané prostredníctvom položky majetku.
# Buying Settings   Buying module’s features are highly configurable as per your business needs. Buying Settings is the place where you can set your preferences for:  - Supplier naming and default values - Billing and shipping preference in buying transactions,"# Nastavenia nákupov  Funkcie modulu Nákup sú vysoko konfigurovateľné podľa potrieb vášho podnikania. Nastavenia nákupov sú miesto, kde môžete nastaviť vaše preferencie pre:  - Názvoslovie dodávateľov a predvolené hodnoty - Preferencie fakturácie a dopravy v nákupných transakciách"
# CRM Settings  CRM module’s features are configurable as per your business needs. CRM Settings is the place where you can set your preferences for: - Campaign - Lead - Opportunity - Quotation,"# Nastavenia CRM  Funkcie modulu CRM sú konfigurovateľné podľa vašich obchodných potrieb. Nastavenia CRM sú miestom, kde môžete nastaviť svoje preferencie pre: - Kampaň - Záujemca - Príležitosť - Cenová ponuka"
"# Chart Of Accounts  ERPNext sets up a simple chart of accounts for each Company you create, but you can modify it according to business and legal requirements.","# Účtová osnova  ERPNext nastaví jednoduchú účtovú osnovu pre každú spoločnosť, ktorú vytvoríte, ale môžete ju upraviť podľa obchodných a právnych požiadaviek."
"# Check Stock Reports Based on the various stock transactions, you can get a host of one-click Stock Reports in ERPNext like Stock Ledger, Stock Balance, Projected Quantity, and Ageing analysis.","# Skontrolujte prehľady zásob Na základe rôznych zásobových transakcií môžete v ERPNext získať množstvo zásobových prehľadov na jedno kliknutie, ako sú Zásobová kniha, Zostatok zásob, Odhadované množstvo a Analýza starnutia."
"# Cost Centers for Budgeting and Analysis  While your Books of Accounts are framed to fulfill statutory requirements, you can set up Cost Center and Accounting Dimensions to address your companies reporting and budgeting requirements.  Click here to learn more about how  <b>[Cost Center](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/cost-center)</b> and <b> [Dimensions](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-dimensions)</b> allow you to get advanced financial analytics reports from ERPNext.","# Nákladové centrá pre rozpočtovanie a analýzu  Zatiaľ čo vaše účtovné knihy sú nastavené na splnenie zákonných požiadaviek, môžete nastaviť Nákladové centrum a Účtovné dimenzie na zabezpečenie požiadaviek na reportovanie a rozpočtovanie vašej spoločnosti.  Kliknite sem a dozviete sa viac o tom, ako <b>[Nákladové centrum](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/cost-center)</b> a <b>[Dimenzie](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-dimensions)</b> umožňujú získať pokročilé správy finančnej analýzy z ERPNext."
"# Create Items for Bill of Materials  One of the prerequisites of a BOM is the creation of raw materials, sub-assembly, and finished items. Once these items are created, you will be able to proceed to the Bill of Materials master, which is composed of items and routing.","# Vytvorenie položiek pre kusovník  Jednou z predpokladaných úloh pre kusovník je vytvorenie surových materiálov, polotovarov a finálnych položiek. Po ich vytvorení budete môcť pokračovať na hlavnú časť kusovníka, ktorá je zložená z položiek a z procesov."
"# Create Operations  An Operation refers to any manufacturing operation performed on the raw materials to process it further in the manufacturing path. As an example, if you are into garments manufacturing, you will create Operations like fabric cutting, stitching, and washing as some of the operations.","# Vytvorte operácie  Operácia sa vzťahuje na akúkoľvek výrobnú operáciu vykonávanú na surovinách za účelom ich ďalšieho spracovania vo výrobnom procese. Napríklad, ak sa zaoberáte výrobou odevov, vytvoríte operácie ako strihanie látky, šitie a pranie ako niektoré z operácií."
"# Create Workstations  A Workstation stores information regarding the place where the workstation operations are performed. As an example, if you have ten sewing machines doing stitching jobs, each machine will be added as a workstation.","# Vytvoriť pracoviská  Pracovisko uchováva informácie týkajúce sa miesta, kde sa vykonávajú operácie pracoviska. Ako príklad, ak máte desať šijacích strojov vykonávajúcich šijacie práce, každý stroj bude pridaný ako pracovisko."
"# Create a Bill of Materials  A Bill of Materials (BOM) is a list of items and sub-assemblies with quantities required to manufacture an Item.  BOM also provides cost estimation for the production of the item. It takes raw-materials cost based on valuation and operations to cost based on routing, which gives total costing for a BOM.","# Vytvorte kusovník  Kusovník (BOM) je zoznam položiek a podzostáv s množstvami potrebnými na výrobu položky.  BOM tiež poskytuje odhad nákladov na výrobu položky. Zahŕňa náklady na suroviny podľa ocenienia a náklady na operácie podľa trasovania, čo dáva celkové náklady pre daný kusovník."
"# Create a Customer  The Customer master is at the heart of your sales transactions. Customers are linked in Quotations, Sales Orders, Invoices, and Payments. Customers can be either numbered or identified by name (you would typically do this based on the number of customers you have).  Through Customer’s master, you can effectively track essentials like:  - Customer’s multiple address and contacts  - Account Receivables  - Credit Limit and Credit Period","# Vytvorenie zákazníka  Majster zákazníka je jadrom vašich predajných transakcií. Zákazníci sú prepojení v ponukách, predajných objednávkach, faktúrach a platbách. Zákazníci môžu byť buď očíslovaní alebo identifikovaní podľa mena (obvykle by ste to robili na základe počtu zákazníkov, ktorých máte).  Prostredníctvom majstra zákazníka môžete efektívne sledovať dôležité veci ako:  - Viacero adries a kontaktov zákazníka  - Pohľadávky  - Úverový limit a úverové obdobie"
"# Create a Letter Head  A Letter Head contains your organization's name, logo, address, etc which appears at the header and footer portion in documents. You can learn more about Setting up Letter Head in ERPNext here.","# Vytvorte hlavový papier  Hlavový papier obsahuje názov, logo, adresu vašej organizácie atď., ktoré sa zobrazujú v hlavičke a pätičke dokumentov. Viac o nastavení hlavového papiera v ERPNext sa môžete dozvedieť tu."
"# Create a Quotation  Let’s get started with business transactions by creating your first Quotation. You can create a Quotation for an existing customer or a prospect. It will be an approved document, with items you sell and the proposed price + taxes applied. After completing the instructions, you will get a Quotation in a ready to share print format.","# Vytvorte cenovú ponuku  Začnime obchodnými transakciami tým, že vytvoríte svoju prvú cenovú ponuku. Môžete vytvoriť cenovú ponuku pre existujúceho zákazníka alebo potenciálneho zákazníka. Bude to schválený dokument s položkami, ktoré predávate, a navrhovanou cenou + uplatnené dane. Po dokončení pokynov získate cenovú ponuku v tlačovom formáte pripravenom na zdieľanie."
"# Create a Supplier  Also known as Vendor, is a master at the center of your purchase transactions. Suppliers are linked in Request for Quotation, Purchase Orders, Receipts, and Payments. Suppliers can be either numbered or identified by name.  Through Supplier’s master, you can effectively track essentials like:  - Supplier’s multiple address and contacts  - Account Receivables  - Credit Limit and Credit Period","# Vytvoriť dodávateľa  Tiež známy ako dodávateľ, je hlavný prvok v centre vašich nákupných transakcií. Dodávatelia sú prepojení s žiadosťou o cenovú ponuku, objednávkami, príjemkami a platbami. Dodávatelia môžu byť označení buď číslom alebo menom.  Prostredníctvom hlavného záznamu dodávateľa môžete efektívne sledovať dôležité veci ako:  - Viacnásobné adresy a kontakty dodávateľa  - Pohľadávky  - Úverový limit a úverové obdobie"
# Create a Supplier In this step we will create a **Supplier**. If you have already created a **Supplier** you can skip this step.,"# Vytvoriť Dodávateľa V tomto kroku vytvoríme **Dodávateľa**. Ak ste už **Dodávateľa** vytvorili, tento krok môžete preskočiť."
"# Create a Work Order  A Work Order or a Job order is given to the manufacturing shop floor by the Production Manager to initiate the manufacturing of a certain quantity of an item. Work Order carriers details of production Item, its BOM, quantities to be manufactured, and operations.  Through Work Order, you can track various production status like:  - Issue of raw-material to shop material - Progress on each Workstation via Job Card - Manufactured Quantity against Work Order","# Vytvorenie pracovného príkazu  Pracovný príkaz alebo pracovná objednávka je zadaná výrobnému podlažiu výrobnou riaditeľkou na zahájenie výroby určitého množstva položky. Pracovný príkaz obsahuje podrobnosti o výrobnom predmete, jeho BOM, množstvá, ktoré sa majú vyrobiť, a operácie.  Prostredníctvom pracovného príkazu môžete sledovať rôzne stavy výroby ako napríklad:  - Vydanie surovín do výrobného materiálu - Pokrok na každom pracovisku prostredníctvom pracovného listu - Vyrobené množstvo oproti pracovnému príkazu"
"# Create an Item  Item is a product or a service offered by your company, or something you buy as a part of your supplies or raw materials.  Items are integral to everything you do in ERPNext - from billing, purchasing to managing inventory. Everything you buy or sell, whether it is a physical product or a service is an Item. Items can be stock, non-stock, variants, serialized, batched, assets, etc.","# Vytvoriť položku  Položka je produkt alebo služba ponúkaná vašou spoločnosťou, alebo niečo, čo kupujete ako súčasť vašich zásob alebo surovín.  Položky sú neoddeliteľnou súčasťou všetkého, čo robíte v ERPNext - od fakturácie, nákupov až po riadenie zásob. Všetko, čo kupujete alebo predávate, či už je to fyzický produkt alebo služba, je položka. Položky môžu byť skladové, neskladové, varianty, sériové, dávkové, aktíva atď."
# Create an Item The Stock module deals with the movement of items.  In this step we will create an  [**Item**](https://docs.erpnext.com/docs/user/manual/en/stock/item).,# Vytvoriť položku Modul Sklad sa zaoberá pohybom položiek.  V tomto kroku vytvoríme [**Položku**](https://docs.erpnext.com/docs/user/manual/en/stock/item).
"# Create first Purchase Order  Purchase Order is at the heart of your buying transactions. In ERPNext, Purchase Order can can be created against a Purchase Material Request (indent) and Supplier Quotation as well.  Purchase Orders is also linked to Purchase Receipt and Purchase Invoices, allowing you to keep a birds-eye view on your purchase deals.","# Vytvorte prvú objednávku  Objednávka je jadrom vašich nákupných transakcií. V ERPNext môže byť objednávka vytvorená voči Nákupnej požiadavke (indentu) a Ponuke dodávateľa. Objednávky sú tiež prepojené s Prijatými dodávkami a Faktúrami za nákup, čo vám umožňuje udržiavať si prehľad o vašich nákupných obchodoch."
# Create your first Purchase Invoice  A Purchase Invoice is a bill received from a Supplier for a product(s) or service(s) delivery to your company. You can track payables through Purchase Invoice and process Payment Entries against it.  Purchase Invoices can also be created against a Purchase Order or Purchase Receipt.,# Vytvorte vašu prvú nákupnú faktúru  Nákupná faktúra je účet prijatý od dodávateľa za dodanie produktu alebo služby vašej spoločnosti. Prostredníctvom nákupnej faktúry môžete sledovať záväzky a spracovávať platobné záznamy voči nej.  Nákupné faktúry môžu byť vytvorené aj voči nákupnej objednávke alebo príjemke.
"# Financial Statements  In ERPNext, you can get crucial financial reports like [Balance Sheet] and [Profit and Loss] statements with a click of a button. You can run in the report for a different period and plot analytics charts premised on statement data. For more reports, check sections like Financial Statements, General Ledger, and Profitability reports.  <b>[Check Accounting reports](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-reports)</b>","# Finančné výkazy  V ERPNext môžete získať kľúčové finančné správy, ako je [Súvaha] a [Výsledovka], jedným kliknutím. Správu môžete spustiť pre rôzne obdobia a zostaviť analytické grafy založené na údajoch z výkazov. Pre viac správ skontrolujte sekcie ako Finančné výkazy, Hlavná kniha a Správy o ziskovosti.  <b>[Skontrolujte účtovné správy](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-reports)</b>"
"# Fixed Asset Accounts  With the company, a host of fixed asset accounts are pre-configured. To ensure your asset transactions are leading to correct accounting entries, you can review and set up following asset accounts as per your business  requirements.  - Fixed asset accounts (Asset account)  - Accumulated depreciation  - Capital Work in progress (CWIP) account  - Asset Depreciation account (Expense account)","# Účty fixných aktív  V rámci spoločnosti sú predkonfigurované mnohé účty fixných aktív. Aby ste zabezpečili, že vaše transakcie s aktívami vedú k správnym účtovným záznamom, môžete skontrolovať a nastaviť nasledujúce účty aktív podľa požiadaviek vášho podnikania.  - Účty fixných aktív (Účet aktív)  - Nahromadené odpisy  - Kapitálové práce vo vývoji (CWIP) účet  - Účet odpisov aktív (Účet výdavkov)"
# How Production Planning Works  Production Plan helps in production and material planning for the Items planned for manufacturing. These production items can be committed via Sales Order (to Customers) or Material Requests (internally).,# Ako funguje plánovanie výroby  Plán výroby pomáha pri plánovaní výroby a materiálu pre položky plánované na výrobu. Tieto výrobné položky môžu byť zaviazané cez zákazku (pre zákazníkov) alebo materiálové požiadavky (vnútorne).
